TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
DLG,-,DELGOLFO,AEROLINEAS DEL GOLFO,"AEROLINEAS DEL GOLFO, S.A. DE C.V.",MEXICO
LET,-,MEXALE,AEROLINEAS EJECUTIVAS,"AEROLINEAS EJECUTIVAS, S.A. DE C.V.",MEXICO
AHL,-,HIDALGO,AEROLINEAS HIDALGO,"AEROLINEAS HIDALGO, S.A. DE C.V.",MEXICO
JGB,-,JETGLOBAL,AEROLINEAS JET GLOBAL,"AEROLINEAS JET GLOBAL, C.A.",VENEZUELA
MCO,-,MARCOS,AEROLINEAS MARCOS,"AEROLINEAS MARCOS, S.A. DE C.V.",MEXICO
APR,-,PRIMORDIALES,AEROLINEAS PRIMORDIALES,"AEROLINEAS PRIMORDIALES, S A DE C.V.",MEXICO
SDO,-,AERO DOMINGO,AEROLINEAS SANTO DOMINGO,"AEROLINEAS SANTO DOMINGO, S.A.",DOMINICAN REPUBLIC
SOD,-,ALSOL,AEROLINEAS SOL,"AEROLINEAS SOL, S.A. DE C.V.",MEXICO
NSO,-,SOSA,AEROLINEAS SOSA,AEROLINEAS SOSA S.A.,HONDURAS
AUY,-,AUSA,AEROLINEAS URUGUAYAS,AEROLINEAS URUGUAYAS S.A.,URUGUAY
XAU,-,PEARL,AEROLINK UGANDA,AEROLINK UGANDA LIMITED,UGANDA
BOX,-,GERMAN CARGO,AEROLOGIC,"AEROLOGIC GMBH, LEIPZIG",GERMANY
LDL,-,-,AEROLOGIC,AEROLOGIC,RUSSIAN FEDERATION
ERM,-,EOMAAN,AEROMAAN,"AEROMAAN, S.A. DE C.V.",MEXICO
AGE,-,AEROMANAGE,AEROMANAGE,AEROMANAGE,LITHUANIA
GZR,-,GEZIRA,AEROMANAGEMENT GROUP,AEROMANAGEMENT GROUP,UNITED STATES OF AMERICA
TAO,VW,TRANS-AEROMAR,AEROMAR,"Transportes Aeromar, S.A. de C.V.",MEXICO
MSM,-,AEROMAS EXPRESS,AEROMAS,AEROMAS,URUGUAY
AXP,-,AEROMAX SPAIN,AEROMAX,"AEROMAX, S.L.",SPAIN
DIC,-,AEROMEDICA,AEROMEDICA,"AEROMEDICA, S.A. DE C.V.",MEXICO
OMG,-,OMEGA,AEROMEGA,AEROMEGA LTD,UNITED KINGDOM
ARS,-,METSERVICE,AEROMET SERVICIOS,AEROMET SERVICIOS LTDA.,CHILE
AMX,AM,AEROMEXICO,AEROMEXICO,"AEROVIAS DE MEXICO, S.A. DE C.V.",MEXICO
SLI,5D,COSTERA,AEROMEXICO CONNECT,"AEROLITORAL, S.A. DE C.V.",MEXICO
NKY,-,AEROMON,AEROMONKY,"AEROMONKY, S.A. DE C.V.",MEXICO
MUN,-,AEROMUNDO,AEROMUNDO EJECUTIVO,"AEROMUNDO EJECUTIVO, S.A. DE C.V.",MEXICO
ECL,-,AERO CASTELLANA,AERONAUTICA CASTELLANA,"AERONAUTICA CASTELLANA, S.L.",SPAIN
NEO,-,-,AERONAUTICA DEL PRINCIPADO,"AERONAUTICA DEL PRINCIPADO, S.L.",SPAIN
IAM,-,ITALIAN AIRFORCE,AERONAUTICA MILITARE ITALIANA,AERONAUTICA MILITARE ITALIANA,ITALY
EVR,-,DIANA,AERONAUTICAL ACADEMY OF EUROPE,"AERONAUTICAL ACADEMY OF EUROPE - ACADEMIA AERONAUTICA DE EVORA, S.A.",PORTUGAL
SUP,-,SUN SPEED,AERONAUTICAL CHARTERS,AERONAUTICAL CHARTERS INC.,UNITED STATES OF AMERICA
YFY,-,-,AERONAUTICAL FIXED STATION,AERONAUTICAL FIXED STATION,ICAO
YOY,-,-,AERONAUTICAL INFORMATION SERVICE UNIT,AERONAUTICAL INFORMATION SERVICE UNIT,ICAO
AET,-,AEROTHAI,AERONAUTICAL RADIO OF THAILAND,AERONAUTICAL RADIO OF THAILAND LTD,THAILAND
YSY,-,RADIO,AERONAUTICAL STATION,AERONAUTICAL STATION,ICAO
WEY,-,WEB ACADEMY,AERONAUTICAL WEB ACADEMY,AWA - AERONAUTICAL WEB ACADEMY,PORTUGAL
AME,-,AIRMIL,AERONAVE MILITAR ESPANOLA,AERONAVE MILITAR ESPANOLA. MINISTERIO DE DEFENSA,SPAIN
ENW,-,AERONOR,AERONAVES DEL NOROESTE,AERONAVES DEL NOROESTE,SPAIN
OLO,DC,VOLODO,AERONAVES DOMINICANAS,AERONAVES DOMINICANAS S.R.L,DOMINICAN REPUBLIC
GSF,-,AERO GESEF,AERONAVES EJECUTIVAS,"AERONAVES EJECUTIVAS GSF, S.A. DE C.V.",MEXICO
VTM,-,AERONAVES TSM,AERONAVES TSM,"AERONAVES TSM, S.A. DE C.V.",MEXICO
ARN,-,AERONEX,AERONEXUS CORPORATE,AERONEXUS CORPORATE PTY LTD,SOUTH AFRICA
GCF,-,AEROCARTO,AERONOR,AERONOR,SPAIN
ONO,-,NORAERO,AERONOR,"AERONOR, S.A. DE C.V.",MEXICO
AAU,-,+,AEROPA,AEROPA S.R.L.,ITALY
RPC,-,AEROPACSA,AEROPACSA,AEROLINEAS DEL PACIFICO - AEROPACSA,ECUADOR
PNM,-,PANAMERICANO,AEROPANAMERICANO,AEROPANAMERICANO C.A.,VENEZUELA
APY,-,-,AEROPAPA,"AEROPAPA, S.L.",SPAIN
APS,-,AEROPARADISE,AEROPARADISE,"AEROPARADISE, S.A. DE C.V.",MEXICO
DFC,-,DARK BLUE,AEROPARTNER,AEROPARTNER A.S.,CZECHIA
APM,-,RED FINN,AEROPOLE,AEROPOLE OY,FINLAND
ALV,-,AEROPOSTAL,AEROPOSTAL ALAS DE VENEZUELA,AEROPOSTAL ALAS DE VENEZUELA,VENEZUELA
MOP,-,PUBLICITARIA,AEROPUBLICITARIA DE ANGOLA,"APA - AEROPUBLICITARIA DE ANGOLA, LDA",ANGOLA
PYC,-,AEROPYCSA,AEROPYCSA,"AEROPYCSA, S.A. DE C.V.",MEXICO
EAP,-,AERO-PYRENEES,AERO-PYRENEES,AERO-PYRENEES,FRANCE
REY,-,AEROREY,AERO-REY,"AERO-REY, S.A. DE C.V.",MEXICO
AFC,-,AERORUTAS,AERORUTAS DEL SUR,AERORUTAS DEL SUR C.A.,VENEZUELA
AOS,-,AEROS,AEROS FLIGHT TRAINING,AEROS LTD (T/A AEROS FLIGHT TRAINING),UNITED KINGDOM
SBH,-,AEROSAAB,AEROSAAB,"AEROSAAB, S.A. DE C.V.",MEXICO
FIC,-,AEROSAFIN,AEROSAFIN,"AEROSAFIN, S.A. DE C.V.",MEXICO
OSN,-,AEROSAN,AEROSAN,"AEROSAN, S.A. DE C.V.",MEXICO
ERK,-,AEROSEC,AEROSEC,AEROSEC,CHILE
SGV,-,SEGOVIA,AEROSEGOVIA,"AEROSEGOVIA, S.A.",NICARAGUA
RSR,-,CONGOSERV,AEROSERVICE,AEROSERVICE,CONGO
PSE,-,SIPSE,AEROSERVICIO SIPSE,"AEROSERVICIO SIPSE, S.A. DE C.V.",MEXICO
CDF,-,SERVICIO AEREO,AEROSERVICIOS AOV,"AEROSERVICIOS AOV, S.A. DE C.V.",MEXICO
VEA,-,AEROAVILA,AEROSERVICIOS AVILA,"AEROSERVICIOS AVILA, C.A.",VENEZUELA
AEC,-,-,AEROSERVICIOS DE ALMERIA 2000,"AEROSERVICIOS DE ALMERIA 2000, S.L.",SPAIN
TAA,-,AERO COSTA,AEROSERVICIOS DE LA COSTA,"AEROSERVICIOS DE LA COSTA, S.A. DE C.V.",MEXICO
NUL,-,SERVICIOS NUEVOLEON,AEROSERVICIOS DE NUEVO LEON,"AEROSERVICIOS DE NUEVO LEON, S.A. DE C.V.",MEXICO
TEG,-,SERVITLAL,AEROSERVICIOS DE TLALTENANGO,"AEROSERVICIOS DE TLALTENANGO, S.A. DE C.V.",MEXICO
DMI,-,AERODINAMICO,AEROSERVICIOS DINAMICOS,"AEROSERVICIOS DINAMICOS, S.A. DE C.V.",MEXICO
EJP,-,EJECORPORATIVOS,AEROSERVICIOS EJECUTIVOS CORPORATIVOS,"AEROSERVICIOS EJECUTIVOS CORPORATIVOS, S.A. DE C.V.",MEXICO
FEE,-,FARES,AEROSERVICIOS FARES,AEROSERVICIOS FARES C.A.,VENEZUELA
RJS,-,ASERJET,AEROSERVICIOS JET,"AEROSERVICIOS JET, S.A. DE C.V.",MEXICO
KTO,-,KRATOS,AEROSERVICIOS KRATOS,AEROSERVICIOS KRATOS SA DE CV,MEXICO
LFA,-,BUCKY,AEROSIM ACADEMY,AEROSIM ACADEMY INC.,UNITED STATES OF AMERICA
AKQ,-,MOONLIGHT,AEROSPACE CONSORTIUM,AEROSPACE CONSORTIUM LTD,KENYA
AES,-,GEMINA,AEROSPACE ENGINEERING SERVICES,AEROSPACE ENGINEERING SERVICES,MALTA
SQU,-,REMUDO,AEROSPATIALLE,AEROSPATIALLE,UNITED STATES OF AMERICA
AFM,-,EPIC AIR,AEROSPEED,AEROSPEED FORMATION ET MAINTENANCE,FRANCE
BSC,KW,BIG SHOT,AEROSTAN,AEROSTAN,KYRGYZSTAN
KRE,-,AEROSUCRE,AEROSUCRE,AEROSUCRE S.A.,COLOMBIA
SYT,-,SKYTRACK,AEROSUD AVIATION,AEROSUD AVIATION,SOUTH AFRICA
ASO,-,AEROSUL,AEROSUL TAXI AEREO,AEROSUL TAXI AEREO LTDA,BRAZIL
ASU,-,ASUR,AEROSUR,COMPANIA AEREA DEL SUR S.A. (AEROSUR S.A.),URUGUAY
RSU,-,AEROSUR,AEROSUR,"AEROSUR, COMPANIA BOLIVIANA DE TRANSPORTE AEREO PRIVADO S.A.",BOLIVIA
ITE,-,AEROTAXI,AEROTAXI,AEROTAXI S.R.O.,CZECHIA
TLN,-,AERO ATLA,AEROTAXI ATLANTICO,"AEROTAXI ATLANTICO, S.A. DE C.V.",MEXICO
ATK,-,AEROTACA,AEROTAXI CASANARE,AEROTAXI CASANARE LTDA.,COLOMBIA
CBO,-,TAXI CABO,AEROTAXI DEL CABO,"AEROTAXI DEL CABO, S.A. DE C.V.",MEXICO
DCA,-,DELCARIBE,AEROTAXI DEL CARIBE,"AEROTAXI DEL CARIBE, S. DE R.L. DE C.V.",MEXICO
DVZ,-,AEROTAXI DVZ,AEROTAXI DVZ,"AEROTAXI DVZ, S.A. DE C.V.",MEXICO
GTP,-,GRUPOTAMPICO,AEROTAXI GRUPO TAMPICO,"AEROTAXI GRUPO TAMPICO, S. A. DE C.V.",MEXICO
VAD,-,VALLES,AEROTAXI LOS VALLES,"AEROTAXI LOS VALLES, S.L.",SPAIN
MXO,-,MEXAERO,AEROTAXI MEXICANO,"AEROTAXI MEXICANO, S.A. DE C.V.",MEXICO
VRI,-,VILLARICA,AEROTAXI VILLA RICA,"AEROTAXI VILLA RICA, S.A. DE C.V.",MEXICO
TXF,-,ALFE,AEROTAXIS ALFE,"AEROTAXIS ALFE, S.A. DE C.V.",MEXICO
BHC,-,BAHIA,AEROTAXIS DE LA BAHIA,"AEROTAXIS DE LA BAHIA, S.A. DE C.V.",MEXICO
RYJ,-,RYJET,AEROTAXIS DEL MEDITERRANEO,AEROTAXIS DEL MEDITERRANEO S.L.,SPAIN
TXD,-,TAXI OESTE,AEROTAXIS DEL NOROESTE,"AEROTAXIS DEL NOROESTE, S.A. DE C.V.",MEXICO
MTB,-,AEROMETROPOLIS,AEROTAXIS METROPOLITANOS,"AEROTAXIS METROPOLITANOS, S.A. DE C.V.",MEXICO
PSO,-,AEROPEGASO,AEROTAXIS PEGASO,"AEROTAXIS PEGASO, S.A. DE C.V.",MEXICO
ERA,-,ROCAN,AEROTAXIS TUCAN,"AEROTAXIS TUCAN, S.A. DE C.V.",MEXICO
AEP,-,AEROTEC,AEROTEC,AEROTEC,SPAIN
TEK,-,ATECH,AERO-TECH SERVICES,AERO-TECH SERVICES,UNITED STATES OF AMERICA
DUG,-,ATSAVEN,AEROTECNICA,AEROTECNICA S.A.,VENEZUELA
AJQ,-,PANAJET,AEROTECNICA JET SERVICES,"AEROTECNICA JET SERVICES, INC.",PANAMA
ATU,-,BERLIN SKY,AEROTOURS,AEROTOURS,GERMANY
RVG,-,AERO VINA,AEROTOURS LA VINA,"AEROTOURS LA VINA, S.A. DE C.V.",MEXICO
CDU,-,-,AEROTRANS,"AEROTRANS, JOINT-STOCK COMPANY",RUSSIAN FEDERATION
ATG,-,MOLDCARGO,AEROTRANSCARGO,AEROTRANSCARGO,MOLDOVA
TCO,-,TRANSCOLOMBIA,AEROTRANSCOLOMBIANA DE CARGA,AEROTRANSCOLOMBIANA DE CARGA LTDA.,COLOMBIA
ANM,-,NORAM,AEROTRANSPORTACION DE NORTEAMERICA,"AEROTRANSPORTACION DE NORTEAMERICA, S.A. DE C.V.",MEXICO
LLE,-,CONVALLES,AEROTRANSPORTE CONVALLES,AEROTRANSPORTE CONVALLES,VENEZUELA
TNO,-,AEROUNION,AEROTRANSPORTE DE CARGA UNION,"AEROTRANSPORTE DE CARGA UNION, S.A. DE C.V.",MEXICO
PET,-,AEROPETRO,AEROTRANSPORTE PETROLERO,AEROTRANSPORTE PETROLERO LTDA.,COLOMBIA
CRP,-,AEROTRANSCORP,AEROTRANSPORTES CORPORATIVOS,"AEROTRANSPORTES CORPORATIVOS, S.A. DE C.V.",MEXICO
HUT,-,AEROHUITZILIN,AEROTRANSPORTES HUITZILIN,"AEROTRANSPORTES HUITZILIN, S.A. DE C.V.",MEXICO
RRE,-,AERO TORREON,AEROTRANSPORTES INTERNACIONALES DE TORREON,"AEROTRANSPORTES INTERNACIONALES DE TORREON, S.A. DE C.V.",MEXICO
RFD,-,RAFILHER,AEROTRANSPORTES RAFILHER,"AEROTRANSPORTES RAFILHER, S.A. DE C.V.",MEXICO
ETZ,-,AERO ZODIAC,AEROTRANSPORTES ZODIAC,"AEROTRANSPORTES ZODIAC, S.A. DE C.V.",MEXICO
OTS,-,TRESALIA,AEROTRESALIA,"AEROTRESALIA, S.A. DE C.V.",MEXICO
RTU,-,AEROTUCAN,AEROTUCAN,"AEROTUCAN, S.A. DE C.V.",MEXICO
AVY,-,AEROVARADERO,AEROVARADERO,"AEROVARADERO, S.A.",CUBA
VNS,-,AEROVENA,AEROVENA,"AEROVENA, S.A. DE C.V.",MEXICO
AEV,-,AEROVENTAS,AEROVENTAS,"AEROVENTAS, S.A.",MEXICO
CLL,-,AEROCASTILLO,AEROVIAS CASTILLO,"AEROVIAS CASTILLO, S.A.",MEXICO
DAP,-,DAP,AEROVIAS DAP,AEROVIAS DAP,CHILE
OVC,-,+,AEROVIC,"AEROVIC, C.A.",ECUADOR
VVG,-,AEROVILLA,AEROVILLA,AEROVILLA LTDA.,COLOMBIA
VIZ,-,AEROVIZ,AEROVIS AIRLINES,AEROVIS AIRLINES LTD,UKRAINE
VRO,-,AEROVITRO,AEROVITRO,"AEROVITRO, S.A. DE C.V.",MEXICO
VUO,-,AEROVUELOX,AEROVUELOX,"AEROVUELOX, S.A. DE C.V.",MEXICO
MCK,-,MAVERICK,AEROWAYS,AEROWAYS,GERMANY
AWH,-,AEROWEST,AEROWEST,AEROWEST GMBH,GERMANY
OWI,-,AEROWIN,AEROWIN,"AEROWIN, SA DE CV",MEXICO
AWP,-,-,AEROWORLD PAKISTAN,AEROWORLD PAKISTAN PRIVATE LTD,PAKISTAN
RXT,-,AERO-EXTRA,AEROXTRA,"AEROXTRA, S.A. DE C.V.",MEXICO
DIR,-,DIREKT WINGS,AERRO DIREKT,AERRO DIREKT,ROMANIA
FAN,-,FANBIRD,AF-AIR INTERNATIONAL,AF-AIR INTERNATIONAL,ANGOLA
AFF,-,AIRFERRY,AF-AVIATION,AF-AVIATION LTD,UNITED KINGDOM
AJA,-,AFGHAN JET,AFGHAN JET INTERNATIONAL AIRLINES,AFGHAN JET INTERNATIONAL AIRLINES,AFGHANISTAN
KIE,-,TWEETY,AFIT,"AFIT GMBH, PULLACH",GERMANY
EKG,-,+,AFRIC AVIATION,AFRIC AVIATION,GABON
FSK,-,AFRICAN SKY,AFRICA CHARTER AIRLINES,AFRICA CHARTER AIRLINES CC,SOUTH AFRICA
AFY,-,AFRICA CHARTERED,AFRICA CHARTERED SERVICES,AFRICA CHARTERED SERVICES,NIGERIA
AFW,AW,BLACKSTAR,AFRICA WORLD AIRLINES,AFRICA WORLD AIRLINES LIMITED (AWA),GHANA
AAW,-,AFRIQIYAH,AFRICAN AIRLINES CORPORATION,AFRICAN AIRLINES CORPORATION,LIBYA
AIK,-,AFRICAN AIRLINES,AFRICAN AIRLINES INTERNATIONAL,AFRICAN AIRLINES INTERNATIONAL LIMITED,KENYA
JAY,-,AFRICA ALLIANCE,AFRICAN ALLIANCE AIRLINES,AFRICAN ALLIANCE AIRLINES,GAMBIA
AXK,-,EXPRESS JET,AFRICAN EXPRESS AIRWAYS,AFRICAN EXPRESS AIRWAYS,KENYA
AIN,-,FLY CARGO,AFRICAN INTERNATIONAL AIRWAYS,AFRICAN INTERNATIONAL AIRWAYS (PTY) LTD,SOUTH AFRICA
QSC,-,ZEBRA,AFRICAN SAFARI AIRWAYS,AFRICAN SAFARI AIRWAYS LTD.,KENYA
AFI,-,AFRICAWORLD,AFRICAONE,AFRICAONE,UGANDA
ACH,-,+,AFRICA'S CONNECTION,AFRICA'S CONNECTION STP,SAO TOME & PRINCIPE
ABS,J7,AFRIJET,AFRIJET,AFRIJET BUSINESS SERVICES (ABS),GABON
CIW,-,-,AFRIK AIRWAYS,AFRIK AIRWAYS,COTE D'IVOIRE
FRK,-,AFRIFAST,AFRIKA AVIATION HANDLERS,AFRIKA AVIATION HANDLERS LIMITED,KENYA
FRQ,-,CHARTER AFRIQUE,AFRIQUE CHART AIR,AFRIQUE CHART AIR,CAMEROON
AOR,-,INTER-AFRO,AFRO INTERNATIONAL,AFRO INTERNATIONAL ENT. LIMITED,NIGERIA
FSE,-,FALCO,AFS ALPINE FLIGHTSERVICE,AFS ALPINE FLIGHTSERVICE GMBH,AUSTRIA
YFA,-,-,AFTN COMMUNICATIONS CENTRE,AFTN COMMUNICATIONS CENTRE,ICAO
FAR,-,TORRO,AG-RAUM,"AG-RAUM GMBH, WARNGAU",GERMANY
AGD,-,-,AGRICOLAIR,"AGRICOLAIR, S.L.",SPAIN
GRR,-,AGROAR,AGROAR,AGROAR - TRABALHOS AEREOS LDA.,PORTUGAL
NEG,-,AGUAS NEGRAS,AGUAS NEGRAS,LINEA AEREA DE FUMIG. AGUAS NEGRAS S.A.,CHILE
STE,-,STEAMLINE,AGULHAS 359,FLY FAMG T/A AGULHAS 360,SOUTH AFRICA
AHS,-,HIGH SKY,AHS AIR INTERNATIONAL,AHS AIR INTERNATIONAL (PVT) LTD,PAKISTAN
AVQ,-,AVIC,AIFA,AVIC - INTERNATIONAL FLIGHT TRAINING ACADEMY (AIFA),SOUTH AFRICA
AAF,ZI,AIGLE AZUR,AIGLE AZUR,AIGLE AZUR,FRANCE
AAM,-,AIM AIR,AIM AIR,AIM AIR,MOLDOVA
AIF,-,-,AIM AVIATION,AIM AVIATION,ISRAEL
RTY,-,AIMS COLLEGE,AIMS COMMUNITY COLLEGE,AIMS COMMUNITY COLLEGE,UNITED STATES OF AMERICA
INA,-,AVICENNA,AIR 1,AIR1AIR,IRAN
RUF,-,ROUGH RIDER,AIR 1ST AVIATION,"AIR 1ST AVIATION COMPANIES OF OKLAHOMA, INC. (TULSA, OK)",UNITED STATES OF AMERICA
FGB,-,KITEBIRD,AIR 65,AIR 65,FRANCE
RDM,-,AIR ADA,AIR ADA,AIR ADA,MAURITANIA
AFH,-,AIR AFGHANISTAN,AIR AFGHANISTAN INTERNATIONAL,AIR AFGHANISTAN INTERNATIONAL,AFGHANISTAN
GEM,-,-,AIR AFRICA INTERNATIONAL,AIR AFRICA INTERNATIONAL LTD,TANZANIA
ABN,ZB,AIR ALBANIA,AIR ALBANIA,AIR ALBANIA SHPK,ALBANIA
WBA,-,ALBAJET,AIR ALBATROS,AIR ALBATROS,FRANCE
AHB,-,ALHAMBRA,AIR ALBORAN,AIR ALBORAN S.L.,SPAIN
PUF,-,PUFFIN,AIR ALDERNY,AIR ALDERNY,UNITED KINGDOM
DAH,AH,AIR ALGERIE,AIR ALGERIE,AIR ALGERIE SPA,ALGERIA
RLZ,-,ALIZE,AIR ALIZE,AIR ALIZE,FRANCE
AYY,-,LUPUS,AIR ALLIANCE EXPRESS,"AIR ALLIANCE EXPRESS AG & CO. KG, BURBACH",GERMANY
DBA,-,DOUBLE-A,AIR ALPHA,"AIR ALPHA, INC. (CINCINNATI, OH)",UNITED STATES OF AMERICA
MMD,6I,MERMAID,AIR ALSIE,AIR ALSIE A/S,DENMARK
HLE,-,HELIMED,AIR AMBULANCE,UK HEMS,UNITED KINGDOM
RMD,-,AIR AMDER,AIR AMDER,AIR AMDER SA,MAURITANIA
AMI,-,AIRMEK,AIR AMERICA,"AIR AMERICA, INC. (CAROLINA, PR)",UNITED STATES OF AMERICA
AMR,-,AIR AM,AIR AMERICA,"AIR SPECIALTIES CORPORATION D/B/A/ AIR AMERICA/TOTAL AIR (LOS ANGELES, CA)",UNITED STATES OF AMERICA
TAH,-,AIR ANKA,AIR ANKA AIRLINES,AIR ANKA AIRLINES INC.- AIR ANKA HAVA YOLLARI A.S.,TURKEY
ATW,-,DEVIL,AIR ANTWERP,AIR ANTWERP,BELGIUM
ABY,G9,ARABIA,AIR ARABIA,AIR ARABIA,UNITED ARAB EMIRATES
ADY,-,NAWRAS,AIR ARABIA ABU DHABI,AIR ARABIA ABU DHABI,UNITED ARAB EMIRATES
RBG,-,ARABIA EGYPT,AIR ARABIA EGYPT,AIR ARABIA EGYPT,EGYPT
ALL,-,ARABIA AVIA,AIR ARABIA FOR AIR TRANSPORT,AIR ARABIA FOR AIR TRANSPORT,LIBYA
JAD,-,ARABIA JORDAN,AIR ARABIA JORDAN,AIR ARABIA JORDAN,JORDAN
MAC,-,ARABIA MAROC,AIR ARABIA MAROC,AIR ARABIA MAROC,MOROCCO
RHL,-,ARCHIPELS,AIR ARCHIPELS,AIR ARCHIPELS,FRANCE
IDX,-,RED PHOENIX,AIR ASIA EXTRA,PT. INDONESIA AIR ASIA EXTRA,INDONESIA
KZR,KC,ASTANALINE,AIR ASTANA,AIR ASTANA,KAZAKHSTAN
-,CT,-,AIR ATLANTA EUROPE,AIR ATLANTA EUROPE,MALTA
AAE,CT,EURO VIKING,AIR ATLANTA EUROPE,AIR ATLANTA EUROPE LTD,MALTA
ABD,CC,ATLANTA,AIR ATLANTA ICELANDIC,AIR ATLANTA ICELANDIC,ICELAND
ANI,-,NIGALANTIC,AIR ATLANTIC,AIR ATLANTIC (NIG) LIMITED,NIGERIA
AUM,-,ATLAMUR,AIR ATLANTIC URUGUAY,AIR ATLANTIC URUGUAY S.A.,URUGUAY
MGT,-,MIGHTYVAN,AIR ATTACK TECHNOLOGIES,AIR ATTACK TECHNOLOGIES,FRANCE
AAI,-,BOREALIS,AIR AURORA,"AIR AURORA, INC. (SUGAR GROVE, IL)",UNITED STATES OF AMERICA
REU,UU,REUNION,AIR AUSTRAL,AIR AUSTRAL,FRANCE
JAB,-,AIR BAGAN,AIR BAGAN,AIR BAGAN LIMITED,MYANMAR
BTI,BT,AIR BALTIC,AIR BALTIC,AIR BALTIC CORPORATION SIA,LATVIA
ABB,KF,AIR BELGIUM,AIR BELGIUM,AIR BELGIUM SA,BELGIUM
TCN,-,NAUTILUS,AIR BERLIN AVIATION,AIR BERLIN AVIATION,GERMANY
BSA,-,BISSAU INTERNATIONAL,AIR BISSAU INTERNATIONAL,AIR BISSAU INTERNATIONAL LDA,GUINEA-BISSAU
BOH,-,BOHEMIA,AIR BOHEMIA,AIR BOHEMIA A.S.,CZECHIA
LBR,-,NORTHLIGHT,AIR BOREALIS,AIR BOREALIS,CANADA
BOT,BP,BOTSWANA,AIR BOTSWANA,"AIR BOTSWANA (PTY.), LTD.",BOTSWANA
BSL,-,AIRBRASIL,AIR BRASIL LINHAS AEREAS,AIR BRASIL LINHAS AEREAS LTDA,BRAZIL
BRF,-,AIR BRAVO,AIR BRAVO,AIR BRAVO,UGANDA
BUR,-,AIR BUCHAREST,AIR BUCHAREST,S.C. AIR BUCHAREST TRANSPORT AERIAN S.R.L.,ROMANIA
VBW,2J,BURKINA,AIR BURKINA,AIR BURKINA,BURKINA FASO
ABL,-,AIR BUSAN,AIR BUSAN,"AIR BUSAN CO., LTD",REPUBLIC OF KOREA
MSC,SM,AIR CAIRO,AIR CAIRO,AIR CAIRO,EGYPT
TPC,TY,AIRCAL,AIR CALEDONIE,SOCIETE CALEDONINNE DE TRANSPORTS AERIENS,NEW CALEDONIE
ACA,AC,AIR CANADA,AIR CANADA,AIR CANADA,CANADA
ROU,RV,ROUGE,AIR CANADA ROUGE,AIR CANADA ROUGE,CANADA
RCM,-,CANNES AZUR,AIR CANNES MEDITERRANEE,AIR CANNES MEDITERRANEE,FRANCE
FWI,TX,FRENCH WEST,AIR CARAIBES,AIR CARAIBES,GUADELOUPE
CAJ,-,CAR LINE,AIR CARAIBES ATLANTIQUE,AIR CARAIBES ATLANTIQUE,FRANCE
CMF,-,COMPASSION,AIR CARE ALLIANCE,"AIR CARE ALLIANCE (STORRS, CT)",UNITED STATES OF AMERICA
SNC,-,NIGHT CARGO,AIR CARGO CARRIERS,"AIR CARGO CARRIERS, INC. (MILWAUKEE, WI)",UNITED STATES OF AMERICA
GRI,-,-,AIR CARGO CENTER,AIR CARGO CENTER,SAO TOME AND PRINCIPE
TDG,-,TURBO DOG,AIR CARGO EXPRESS,"AIR CARGO EXPRESS, INC. (LITTLE ROCK, AR)",UNITED STATES OF AMERICA
CCC,-,GLOBAL CARGO,AIR CARGO GLOBAL,"AIR CARGO GLOBAL, S.R.O.",SLOVAKIA
RNR,-,RUNNER,AIR CARGO MASTERS,"AIR CARGO MASTERS, INC. (SIOUX FALLS, SD)",UNITED STATES OF AMERICA
MGC,-,MONGOLIA CARGO,AIR CARGO MONGOLIA,AIR CARGO MONGOLIA,MONGOLIA
ACU,-,AFRISPIRIT,AIR CARGO TRANSPORTATION SYSTEM,AIR CARGO TRANSPORTATION SYSTEM LIMITED,KENYA
ACV,-,CARNAIR,AIR CARNIVAL,"AIR CARNIVAL PVT. LIMITED (COIMBATORE, INDIA)",INDIA
RFX,-,REFLEX,AIR CARRIERS,"J P HUNT, INC., AIR CARRIERS (GENTRY, AR)",UNITED STATES OF AMERICA
RCI,-,AIR CASSAI,AIR CASSAI,AIR CASSAI LDA.,ANGOLA
RAP,-,RAPTOR,AIR CENTER HELICOPTERS,"AIR CENTER HELICOPTERS, INC. (FORT WORTH, TX)",UNITED STATES OF AMERICA
CEY,-,CENTURYFLIGHT,AIR CENTURY,"AIR CENTURY, S.A.",DOMINICAN REPUBLIC
CGN,9H,CHANG AN,AIR CHANGAN,"AIR CHANGAN CO., LTD.",CHINA
NGF,-,ANGEL FLIGHT,AIR CHARITY NETWORK,"AIR CHARITY NETWORK (VIRGINIA BEACH, VA)",UNITED STATES OF AMERICA
AGR,-,ACE EUROPE,AIR CHARTER EUROPE,ASL BV,NETHERLANDS
BNJ,-,JET BELGIUM,AIR CHARTER EUROPE,ASL,BELGIUM
CHV,-,CHARTAIR,AIR CHARTER PROFESSIONALS,"AIR CHARTER PROFESSIONALS, INC. (OPA LOCKA, FL)",UNITED STATES OF AMERICA
EDC,-,SALTIRE,AIR CHARTER SCOTLAND,AIR CHARTER SCOTLAND LTD,UNITED KINGDOM
SCO,-,BRAVEHEART,AIR CHARTER SCOTLAND,AIR CHARTER SCOTLAND EUROPE LTD,MALTA
XAC,-,-,AIR CHARTER WORLD,"AIR CHARTER WORLD (CORRALES, NM)",UNITED STATES OF AMERICA
